51,775
51,775
51,735
24,510
51,510
51,775
51,735
24,510
51,510
51,540
51,820
51,775
51,735
24,510
51,510
51,540
51,820
51,595
51,775
51,735
24,510
51,510
51,540
51,820
51,595
51,580
11,001
51,760
51,775
51,735
24,510
51,510
51,540
51,820
51,595
51,580
11,001
51,760
51,610
51,770
51,750
51,600
51,620
51,660
51,530
51,685
51,775
51,735
24,510
51,510
51,540
51,820
51,595
51,580
11,001
51,760
51,610
51,770
51,750
51,600
51,620
51,660
51,530
51,685
51,700
51,840
51,590
51,670
51,740
51,678
51,710
51,520
51,720
51,790
51,830
51,690
51,630
51,640
51,680
51,730
51,683
51,650
51,570
29,510
02,130
02,188
02,220
02,290
02,198
02,195
02,275
02,068
02,240
02,261
02,100
02,050
02,164
02,060
02,230
02,105
02,070
02,170
02,013
15,005
02,158
02,185
02,180
02,016
02,150
02,282
